,time,origin,value
315,1675493100000.0,3,269.2351989746094
316,1675494000000.0,3,269.6543884277344
317,1675494900000.0,3,269.8168640136719
318,1675495800000.0,3,269.8642578125
319,1675496700000.0,3,269.8965759277344
320,1675497600000.0,3,270.07965087890625
321,1675498500000.0,3,270.2020263671875
322,1675499400000.0,3,270.3192138671875
323,1675500300000.0,3,270.2656555175781
324,1675501200000.0,3,270.3095703125
325,1675502100000.0,3,270.7351989746094
326,1675503000000.0,3,270.6331481933594
327,1675503900000.0,3,270.6688537597656
328,1675504800000.0,3,270.6060791015625
329,1675505700000.0,3,270.8924560546875
330,1675506600000.0,3,270.979248046875
331,1675507500000.0,3,270.6005859375
332,1675508400000.0,3,270.9973449707031
333,1675509300000.0,3,271.0273132324219
334,1675510200000.0,3,271.0410461425781
335,1675511100000.0,3,271.1593322753906
336,1675512000000.0,3,271.3739929199219
337,1675512900000.0,3,270.47882080078125
338,1675513800000.0,3,271.12921142578125
339,1675514700000.0,3,271.23785400390625
340,1675515600000.0,3,271.2607421875
341,1675516500000.0,3,271.3701477050781
342,1675517400000.0,3,271.3606262207031
343,1675518300000.0,3,271.20635986328125
344,1675519200000.0,3,271.1134338378906
345,1675520100000.0,3,270.7811279296875
346,1675521000000.0,3,270.5551452636719
347,1675521900000.0,3,270.5221862792969
348,1675522800000.0,3,270.45068359375
349,1675523700000.0,3,270.2139587402344
350,1675524600000.0,3,270.0302429199219
351,1675525500000.0,3,269.94207763671875
352,1675526400000.0,3,269.7582092285156
353,1675527300000.0,3,269.634033203125
354,1675528200000.0,3,269.7860107421875
355,1675529100000.0,3,269.4921569824219
356,1675530000000.0,3,269.22332763671875
357,1675530900000.0,3,269.0321350097656
358,1675531800000.0,3,268.77325439453125
359,1675532700000.0,3,269.4256591796875
360,1675533600000.0,3,268.2658386230469
361,1675534500000.0,3,268.1671142578125
362,1675535400000.0,3,268.16217041015625
363,1675536300000.0,3,268.5151062011719
364,1675537200000.0,3,268.6025695800781
365,1675538100000.0,3,268.41778564453125
